epoch,step,train_dataset_iou,train_loss,train_per_image_iou,valid_dataset_iou,valid_loss,valid_per_image_iou
0,20,,,,0.7870611548423767,0.7136200070381165,0.7870611548423767
0,20,0.7870611548423767,0.6799803376197815,0.7870611548423767,,,
1,41,,,,0.8011075258255005,0.6577571630477905,0.8011075258255005
1,41,0.8011075258255005,0.6227989196777344,0.8011075258255005,,,
2,62,,,,0.7465088963508606,0.6261491179466248,0.7465088963508606
2,62,0.7465088963508606,0.5909578204154968,0.7465088963508606,,,
3,83,,,,0.7691871523857117,0.5975673794746399,0.7691871523857117
3,83,0.7691871523857117,0.5672516822814941,0.7691871523857117,,,
4,104,,,,0.8183987736701965,0.5922677516937256,0.8183987736701965
4,104,0.8183987736701965,0.5462749600410461,0.8183987736701965,,,
5,125,,,,0.7383093237876892,0.584867537021637,0.7383093237876892
5,125,0.7383093237876892,0.5387052893638611,0.7383093237876892,,,
6,146,,,,0.7549976706504822,0.593041718006134,0.7549976706504822
6,146,0.7549976706504822,0.5318918228149414,0.7549976706504822,,,
7,167,,,,0.6210145950317383,0.5851282477378845,0.6210145950317383
7,167,0.6210145950317383,0.5244152545928955,0.6210145950317383,,,
8,188,,,,0.7715065479278564,0.5735333561897278,0.7715065479278564
8,188,0.7715065479278564,0.5183393359184265,0.7715065479278564,,,
9,209,,,,0.7635693550109863,0.5631621479988098,0.7635693550109863
9,209,0.7635693550109863,0.512065589427948,0.7635693550109863,,,
10,230,,,,0.7809663414955139,0.5540890693664551,0.7809663414955139
10,230,0.7809663414955139,0.5043787360191345,0.7809663414955139,,,
11,251,,,,0.7653507590293884,0.5464141368865967,0.7653507590293884
11,251,0.7653507590293884,0.49651986360549927,0.7653507590293884,,,
12,272,,,,0.7819833159446716,0.5397276282310486,0.7819833159446716
12,272,0.7819833159446716,0.4929531216621399,0.7819833159446716,,,
13,293,,,,0.2979867458343506,0.5461991429328918,0.2979867458343506
13,293,0.2979867458343506,0.4881621301174164,0.2979867458343506,,,
14,314,,,,0.7656123638153076,0.542194128036499,0.7656123638153076
14,314,0.7656123638153076,0.48492956161499023,0.7656123638153076,,,
15,335,,,,0.7956052422523499,0.5374122262001038,0.7956052422523499
15,335,0.7956052422523499,0.4822816550731659,0.7956052422523499,,,
16,356,,,,0.5210685729980469,0.5376627445220947,0.5210685729980469
16,356,0.5210685729980469,0.4782992899417877,0.5210685729980469,,,
17,377,,,,0.35728856921195984,0.5387832522392273,0.35728856921195984
17,377,0.35728856921195984,0.4770522117614746,0.35728856921195984,,,
18,398,,,,0.7898919582366943,0.5411700010299683,0.7898919582366943
18,398,0.7898919582366943,0.47705981135368347,0.7898919582366943,,,
19,399,,,,0.7898919582366943,0.5433219075202942,0.7898919582366943
