epoch,step,train_dataset_iou,train_loss,train_per_image_iou,valid_dataset_iou,valid_loss,valid_per_image_iou
0,160,,,,0.3528302311897278,0.5447871088981628,0.3528302311897278
0,160,0.3528302311897278,0.6122533082962036,0.3528302311897278,,,
1,321,,,,0.43285277485847473,0.514078676700592,0.43285277485847473
1,321,0.43285277485847473,0.5642063617706299,0.43285277485847473,,,
2,482,,,,0.3912563621997833,0.4994531273841858,0.3912563621997833
2,482,0.3912563621997833,0.53630131483078,0.3912563621997833,,,
3,643,,,,0.3637387454509735,0.49257156252861023,0.3637387454509735
3,643,0.3637387454509735,0.517052948474884,0.3637387454509735,,,
4,804,,,,0.4472179710865021,0.4843854606151581,0.4472179710865021
4,804,0.4472179710865021,0.5003968477249146,0.4472179710865021,,,
5,965,,,,0.47598618268966675,0.4791257083415985,0.47598618268966675
5,965,0.47598618268966675,0.48496291041374207,0.47598618268966675,,,
6,1126,,,,0.5045815706253052,0.4731258451938629,0.5045815706253052
6,1126,0.5045815706253052,0.47221454977989197,0.5045815706253052,,,
7,1287,,,,0.45435580611228943,0.46843311190605164,0.45435580611228943
7,1287,0.45435580611228943,0.4615570604801178,0.45435580611228943,,,
8,1448,,,,0.453662246465683,0.4656262695789337,0.453662246465683
8,1448,0.453662246465683,0.4519885182380676,0.453662246465683,,,
9,1609,,,,0.4819689095020294,0.46318021416664124,0.4819689095020294
9,1609,0.4819689095020294,0.4432659447193146,0.4819689095020294,,,
10,1770,,,,0.42543548345565796,0.46107950806617737,0.42543548345565796
10,1770,0.42543548345565796,0.4352656900882721,0.42543548345565796,,,
11,1931,,,,0.38446345925331116,0.45970264077186584,0.38446345925331116
11,1931,0.38446345925331116,0.4273645877838135,0.38446345925331116,,,
12,2092,,,,0.466060072183609,0.45750370621681213,0.466060072183609
12,2092,0.466060072183609,0.42029449343681335,0.466060072183609,,,
13,2253,,,,0.433193564414978,0.4558769762516022,0.433193564414978
13,2253,0.433193564414978,0.41369253396987915,0.433193564414978,,,
14,2414,,,,0.521395206451416,0.4534943699836731,0.521395206451416
14,2414,0.521395206451416,0.4068686068058014,0.521395206451416,,,
15,2575,,,,0.4694129228591919,0.4515017867088318,0.4694129228591919
15,2575,0.4694129228591919,0.40016624331474304,0.4694129228591919,,,
16,2736,,,,0.5038694739341736,0.4494953453540802,0.5038694739341736
16,2736,0.5038694739341736,0.39422547817230225,0.5038694739341736,,,
17,2897,,,,0.5135946869850159,0.4486771523952484,0.5135946869850159
17,2897,0.5135946869850159,0.38854578137397766,0.5135946869850159,,,
18,3058,,,,0.4822412431240082,0.44700703024864197,0.4822412431240082
18,3058,0.4822412431240082,0.382985383272171,0.4822412431240082,,,
19,3219,,,,0.48731231689453125,0.44541752338409424,0.48731231689453125
19,3219,0.48731231689453125,0.37743839621543884,0.48731231689453125,,,
20,3380,,,,0.5353987216949463,0.44397658109664917,0.5353987216949463
20,3380,0.5353987216949463,0.37312304973602295,0.5353987216949463,,,
21,3541,,,,0.5074150562286377,0.4427812397480011,0.5074150562286377
21,3541,0.5074150562286377,0.3684718608856201,0.5074150562286377,,,
22,3702,,,,0.5155153870582581,0.44161203503608704,0.5155153870582581
22,3702,0.5155153870582581,0.36430123448371887,0.5155153870582581,,,
23,3863,,,,0.5863815546035767,0.4401525855064392,0.5863815546035767
