epoch,step,train_dataset_iou,train_loss,train_per_image_iou,valid_dataset_iou,valid_loss,valid_per_image_iou
0,25,,,,0.2103470265865326,0.8281015157699585,0.28867122530937195
0,25,0.2103470265865326,0.7747880816459656,0.28867122530937195,,,
1,51,,,,0.20453880727291107,0.7830889225006104,0.2815484404563904
1,51,0.20453880727291107,0.73373943567276,0.2815484404563904,,,
2,77,,,,0.35149332880973816,0.7255014181137085,0.4029191732406616
2,77,0.35149332880973816,0.6995587348937988,0.4029191732406616,,,
3,103,,,,0.3893696963787079,0.6810461282730103,0.428185373544693
3,103,0.3893696963787079,0.6666344404220581,0.428185373544693,,,
4,129,,,,0.43179377913475037,0.6600397825241089,0.468607634305954
4,129,0.43179377913475037,0.6394668817520142,0.468607634305954,,,
5,155,,,,0.3578944802284241,0.6364941596984863,0.40900832414627075
5,155,0.3578944802284241,0.6151250004768372,0.40900832414627075,,,
6,181,,,,0.36567991971969604,0.6307632327079773,0.41689759492874146
6,181,0.36567991971969604,0.5968648791313171,0.41689759492874146,,,
7,207,,,,0.37493574619293213,0.6127209067344666,0.41744744777679443
7,207,0.37493574619293213,0.5798721313476562,0.41744744777679443,,,
8,233,,,,0.46702632308006287,0.5974792242050171,0.518585741519928
8,233,0.46702632308006287,0.5654321908950806,0.518585741519928,,,
9,259,,,,0.4006330072879791,0.584162175655365,0.447459876537323
9,259,0.4006330072879791,0.5541170835494995,0.447459876537323,,,
10,285,,,,0.5699176788330078,0.5718116164207458,0.5979206562042236
10,285,0.5699176788330078,0.541144847869873,0.5979206562042236,,,
11,311,,,,0.45414790511131287,0.5613059997558594,0.5018942952156067
11,311,0.45414790511131287,0.5316783785820007,0.5018942952156067,,,
12,337,,,,0.40130549669265747,0.560326337814331,0.46020421385765076
12,337,0.40130549669265747,0.5214744210243225,0.46020421385765076,,,
13,363,,,,0.3799799382686615,0.5539151430130005,0.439503937959671
13,363,0.3799799382686615,0.5141653418540955,0.439503937959671,,,
14,389,,,,0.4607436954975128,0.5454416275024414,0.5122384428977966
14,389,0.4607436954975128,0.5068256855010986,0.5122384428977966,,,
15,415,,,,0.3969607353210449,0.5385803580284119,0.45299071073532104
15,415,0.3969607353210449,0.4998449981212616,0.45299071073532104,,,
16,441,,,,0.4481842815876007,0.5357338190078735,0.49928292632102966
16,441,0.4481842815876007,0.49378490447998047,0.49928292632102966,,,
17,467,,,,0.45252764225006104,0.5296334028244019,0.5019410848617554
17,467,0.45252764225006104,0.48885229229927063,0.5019410848617554,,,
18,493,,,,0.5162648558616638,0.5242828726768494,0.5459533929824829
18,493,0.5162648558616638,0.48409503698349,0.5459533929824829,,,
19,519,,,,0.359773188829422,0.5207239985466003,0.4140211343765259
19,519,0.359773188829422,0.4786849021911621,0.4140211343765259,,,
20,520,,,,0.359773188829422,0.517499566078186,0.4140211343765259
