epoch,step,train_dataset_iou,train_loss,train_per_image_iou,valid_dataset_iou,valid_loss,valid_per_image_iou
0,25,,,,0.25503304600715637,0.823023796081543,0.31526488065719604
0,25,0.25503304600715637,0.7547742128372192,0.31526488065719604,,,
1,51,,,,0.2558518350124359,0.7506632804870605,0.28541675209999084
1,51,0.2558518350124359,0.7222186326980591,0.28541675209999084,,,
2,77,,,,0.1955336034297943,0.7153990268707275,0.2178688496351242
2,77,0.1955336034297943,0.6863327622413635,0.2178688496351242,,,
3,103,,,,0.26844167709350586,0.6813231706619263,0.292136549949646
3,103,0.26844167709350586,0.657843828201294,0.292136549949646,,,
4,129,,,,0.3044302761554718,0.6565629243850708,0.3461064100265503
4,129,0.3044302761554718,0.6315160989761353,0.3461064100265503,,,
5,155,,,,0.2799409031867981,0.6379731893539429,0.3167654871940613
5,155,0.2799409031867981,0.6105695962905884,0.3167654871940613,,,
6,181,,,,0.289656400680542,0.625175416469574,0.3188924193382263
6,181,0.289656400680542,0.5918735861778259,0.3188924193382263,,,
7,207,,,,0.30318522453308105,0.6132052540779114,0.3385281264781952
7,207,0.30318522453308105,0.5780925750732422,0.3385281264781952,,,
8,233,,,,0.30419427156448364,0.600868821144104,0.33896321058273315
8,233,0.30419427156448364,0.5672886371612549,0.33896321058273315,,,
9,259,,,,0.30952000617980957,0.5893529057502747,0.3523223102092743
9,259,0.30952000617980957,0.5557897090911865,0.3523223102092743,,,
10,285,,,,0.31360873579978943,0.579764723777771,0.35603201389312744
10,285,0.31360873579978943,0.5446164011955261,0.35603201389312744,,,
11,311,,,,0.31647178530693054,0.5748633146286011,0.3588823974132538
11,311,0.31647178530693054,0.5362198352813721,0.3588823974132538,,,
12,337,,,,0.27945476770401,0.5652825236320496,0.3008006513118744
12,337,0.27945476770401,0.5274278521537781,0.3008006513118744,,,
13,363,,,,0.3073434829711914,0.557165801525116,0.33330386877059937
13,363,0.3073434829711914,0.5200466513633728,0.33330386877059937,,,
14,389,,,,0.2951417863368988,0.5511156320571899,0.3202798366546631
14,389,0.2951417863368988,0.5144891142845154,0.3202798366546631,,,
15,415,,,,0.3201422095298767,0.5467769503593445,0.35684409737586975
15,415,0.3201422095298767,0.5102376937866211,0.35684409737586975,,,
16,441,,,,0.32220152020454407,0.5402642488479614,0.3631560504436493
16,441,0.32220152020454407,0.5057558417320251,0.3631560504436493,,,
17,467,,,,0.2849566340446472,0.53523850440979,0.3135981261730194
17,467,0.2849566340446472,0.4998851418495178,0.3135981261730194,,,
18,493,,,,0.2950708270072937,0.5307865738868713,0.33095595240592957
18,493,0.2950708270072937,0.49434149265289307,0.33095595240592957,,,
19,519,,,,0.268897145986557,0.5251743197441101,0.2979690432548523
19,519,0.268897145986557,0.4897722005844116,0.2979690432548523,,,
20,520,,,,0.268897145986557,0.5200894474983215,0.2979690432548523
