epoch,step,train_dataset_iou,train_loss,train_per_image_iou,valid_dataset_iou,valid_loss,valid_per_image_iou
0,25,,,,0.3260161876678467,0.8182953596115112,0.4514237642288208
0,25,0.3260161876678467,0.7968260049819946,0.4514237642288208,,,
1,51,,,,0.35023146867752075,0.7695868015289307,0.453408420085907
1,51,0.35023146867752075,0.7600539326667786,0.453408420085907,,,
2,77,,,,0.32907453179359436,0.7311414480209351,0.41432830691337585
2,77,0.32907453179359436,0.7336208820343018,0.41432830691337585,,,
3,103,,,,0.3594142198562622,0.7019917964935303,0.4375001788139343
3,103,0.3594142198562622,0.713489294052124,0.4375001788139343,,,
4,129,,,,0.27055880427360535,0.6801426410675049,0.3215866982936859
4,129,0.27055880427360535,0.6972082853317261,0.3215866982936859,,,
5,155,,,,0.33738628029823303,0.6670977473258972,0.39912864565849304
5,155,0.33738628029823303,0.6845268607139587,0.39912864565849304,,,
6,181,,,,0.3604622185230255,0.6518773436546326,0.41631534695625305
6,181,0.3604622185230255,0.6720407605171204,0.41631534695625305,,,
7,207,,,,0.4036109745502472,0.6423556804656982,0.4975420832633972
7,207,0.4036109745502472,0.6622806787490845,0.4975420832633972,,,
8,233,,,,0.3559674024581909,0.6341521143913269,0.44525250792503357
8,233,0.3559674024581909,0.6543282270431519,0.44525250792503357,,,
9,259,,,,0.3910197913646698,0.6312466859817505,0.4846051335334778
9,259,0.3910197913646698,0.6468605399131775,0.4846051335334778,,,
10,285,,,,0.3718026280403137,0.6237719058990479,0.4609847366809845
10,285,0.3718026280403137,0.6416954398155212,0.4609847366809845,,,
11,311,,,,0.39103052020072937,0.61287921667099,0.4699191153049469
11,311,0.39103052020072937,0.6355500817298889,0.4699191153049469,,,
12,337,,,,0.3827420175075531,0.6043053269386292,0.4679529070854187
12,337,0.3827420175075531,0.6275475025177002,0.4679529070854187,,,
13,363,,,,0.38744041323661804,0.5965648293495178,0.47711417078971863
13,363,0.38744041323661804,0.6207837462425232,0.47711417078971863,,,
14,389,,,,0.40625864267349243,0.5907604098320007,0.4944725036621094
14,389,0.40625864267349243,0.6144497990608215,0.4944725036621094,,,
15,415,,,,0.3966684341430664,0.5855463743209839,0.4734154939651489
15,415,0.3966684341430664,0.6078964471817017,0.4734154939651489,,,
16,441,,,,0.433567613363266,0.5808723568916321,0.5076372027397156
16,441,0.433567613363266,0.6037867069244385,0.5076372027397156,,,
17,467,,,,0.3853953182697296,0.5753452181816101,0.4506494402885437
17,467,0.3853953182697296,0.5987715125083923,0.4506494402885437,,,
18,493,,,,0.3811948299407959,0.5727378129959106,0.47292500734329224
18,493,0.3811948299407959,0.5945907235145569,0.47292500734329224,,,
19,519,,,,0.37820571660995483,0.5686945915222168,0.46573010087013245
19,519,0.37820571660995483,0.5904441475868225,0.46573010087013245,,,
20,520,,,,0.37820571660995483,0.5650312304496765,0.46573010087013245
