epoch,step,train_dataset_iou,train_loss,train_per_image_iou,valid_dataset_iou,valid_loss,valid_per_image_iou
0,160,,,,0.8543704152107239,0.6286436319351196,0.8543704152107239
0,160,0.8543704152107239,0.6455039381980896,0.8543704152107239,,,
1,321,,,,0.7233390808105469,0.6137334108352661,0.7233390808105469
1,321,0.7233390808105469,0.6325122714042664,0.7233390808105469,,,
2,482,,,,0.8731662631034851,0.614014208316803,0.8731662631034851
2,482,0.8731662631034851,0.6274431347846985,0.8731662631034851,,,
3,643,,,,0.773370087146759,0.6027268171310425,0.773370087146759
3,643,0.773370087146759,0.6182134747505188,0.773370087146759,,,
4,804,,,,0.5002761483192444,0.6074004769325256,0.5002761483192444
4,804,0.5002761483192444,0.6138895750045776,0.5002761483192444,,,
5,965,,,,0.29751455783843994,0.6118717789649963,0.29751455783843994
5,965,0.29751455783843994,0.6137630939483643,0.29751455783843994,,,
6,1126,,,,0.740744948387146,0.6059191226959229,0.740744948387146
6,1126,0.740744948387146,0.6112051606178284,0.740744948387146,,,
7,1127,,,,0.740744948387146,0.6014454960823059,0.740744948387146
