epoch,step,train_dataset_iou,train_loss,train_per_image_iou,valid_dataset_iou,valid_loss,valid_per_image_iou
0,25,,,,0.42130810022354126,0.8022665977478027,0.5358521938323975
0,25,0.42130810022354126,0.8352015018463135,0.5358521938323975,,,
1,51,,,,0.3908439874649048,0.7661474943161011,0.45567721128463745
1,51,0.3908439874649048,0.8054674863815308,0.45567721128463745,,,
2,77,,,,0.624711811542511,0.7326045632362366,0.661619246006012
2,77,0.624711811542511,0.7822868227958679,0.661619246006012,,,
3,103,,,,0.4189762771129608,0.7199969291687012,0.47126075625419617
3,103,0.4189762771129608,0.7604784369468689,0.47126075625419617,,,
4,129,,,,0.5289627313613892,0.7057501673698425,0.5939387679100037
4,129,0.5289627313613892,0.737663984298706,0.5939387679100037,,,
5,155,,,,0.4953044652938843,0.685280442237854,0.5642456412315369
5,155,0.4953044652938843,0.7198505997657776,0.5642456412315369,,,
6,181,,,,0.5085198879241943,0.6800532341003418,0.5650384426116943
6,181,0.5085198879241943,0.7034416794776917,0.5650384426116943,,,
7,207,,,,0.5122841000556946,0.6641325950622559,0.5843890905380249
7,207,0.5122841000556946,0.6883403062820435,0.5843890905380249,,,
8,233,,,,0.5550158023834229,0.6518151760101318,0.6139540076255798
8,233,0.5550158023834229,0.6760993599891663,0.6139540076255798,,,
9,259,,,,0.5153501033782959,0.6416428089141846,0.5657007098197937
9,259,0.5153501033782959,0.6636528372764587,0.5657007098197937,,,
10,285,,,,0.4493197798728943,0.6323297619819641,0.5228722095489502
10,285,0.4493197798728943,0.652567982673645,0.5228722095489502,,,
11,311,,,,0.42661988735198975,0.6260604858398438,0.49437201023101807
11,311,0.42661988735198975,0.6415444016456604,0.49437201023101807,,,
12,337,,,,0.6713095903396606,0.6173610687255859,0.7005542516708374
12,337,0.6713095903396606,0.6363452076911926,0.7005542516708374,,,
13,363,,,,0.5778638124465942,0.6100279688835144,0.6217162609100342
13,363,0.5778638124465942,0.6302505731582642,0.6217162609100342,,,
14,389,,,,0.5028811097145081,0.6062060594558716,0.595734715461731
14,389,0.5028811097145081,0.6236351728439331,0.595734715461731,,,
15,415,,,,0.6087568402290344,0.5987794995307922,0.6450257897377014
15,415,0.6087568402290344,0.6181381344795227,0.6450257897377014,,,
16,441,,,,0.5401325225830078,0.5938223600387573,0.5872361660003662
16,441,0.5401325225830078,0.6116219162940979,0.5872361660003662,,,
17,467,,,,0.6269484758377075,0.5898317694664001,0.6672570109367371
17,467,0.6269484758377075,0.6063453555107117,0.6672570109367371,,,
18,493,,,,0.5659192800521851,0.5861141681671143,0.6230480074882507
18,493,0.5659192800521851,0.6015260815620422,0.6230480074882507,,,
19,519,,,,0.5719408392906189,0.5853393077850342,0.6097115874290466
19,519,0.5719408392906189,0.597223162651062,0.6097115874290466,,,
20,520,,,,0.5719408392906189,0.5846371650695801,0.6097115874290466
