epoch,step,train_dataset_iou,train_loss,train_per_image_iou,valid_dataset_iou,valid_loss,valid_per_image_iou
0,20,,,,0.3070341646671295,0.6984111070632935,0.3070341646671295
0,20,0.3070341646671295,0.5539137721061707,0.3070341646671295,,,
1,41,,,,0.4151739776134491,0.639849841594696,0.4151739776134491
1,41,0.4151739776134491,0.48667341470718384,0.4151739776134491,,,
2,62,,,,0.31412357091903687,0.5825365781784058,0.31412357091903687
2,62,0.31412357091903687,0.4612652063369751,0.31412357091903687,,,
3,83,,,,0.606353223323822,0.5468696355819702,0.606353223323822
3,83,0.606353223323822,0.4400404989719391,0.606353223323822,,,
4,104,,,,0.5240398645401001,0.5324668288230896,0.5240398645401001
4,104,0.5240398645401001,0.42203715443611145,0.5240398645401001,,,
5,125,,,,0.40152478218078613,0.5212597846984863,0.40152478218078613
5,125,0.40152478218078613,0.4138503670692444,0.40152478218078613,,,
6,146,,,,0.4635268449783325,0.5268207788467407,0.4635268449783325
6,146,0.4635268449783325,0.4052688479423523,0.4635268449783325,,,
7,167,,,,0.47159475088119507,0.5067241191864014,0.47159475088119507
7,167,0.47159475088119507,0.3978840112686157,0.47159475088119507,,,
8,188,,,,0.3759395480155945,0.5004028081893921,0.3759395480155945
8,188,0.3759395480155945,0.3937916159629822,0.3759395480155945,,,
9,209,,,,0.7349269986152649,0.4868628680706024,0.7349269986152649
9,209,0.7349269986152649,0.39037463068962097,0.7349269986152649,,,
10,230,,,,0.675491213798523,0.47212105989456177,0.675491213798523
10,230,0.675491213798523,0.3864504396915436,0.675491213798523,,,
11,251,,,,0.4929664134979248,0.4621402621269226,0.4929664134979248
11,251,0.4929664134979248,0.37994566559791565,0.4929664134979248,,,
12,272,,,,0.6710268259048462,0.4499486982822418,0.6710268259048462
12,272,0.6710268259048462,0.37380221486091614,0.6710268259048462,,,
13,293,,,,0.45734331011772156,0.44238436222076416,0.45734331011772156
13,293,0.45734331011772156,0.3691588044166565,0.45734331011772156,,,
14,314,,,,0.521739661693573,0.4333515167236328,0.521739661693573
14,314,0.521739661693573,0.3646601438522339,0.521739661693573,,,
15,335,,,,0.6809706091880798,0.4253614544868469,0.6809706091880798
15,335,0.6809706091880798,0.361832857131958,0.6809706091880798,,,
16,356,,,,0.6536549925804138,0.4198051691055298,0.6536549925804138
16,356,0.6536549925804138,0.35851627588272095,0.6536549925804138,,,
17,377,,,,0.6635613441467285,0.413568913936615,0.6635613441467285
17,377,0.6635613441467285,0.35462135076522827,0.6635613441467285,,,
18,398,,,,0.6017401814460754,0.40891095995903015,0.6017401814460754
18,398,0.6017401814460754,0.35296279191970825,0.6017401814460754,,,
19,419,,,,0.6857918500900269,0.40446099638938904,0.6857918500900269
19,419,0.6857918500900269,0.34994637966156006,0.6857918500900269,,,
20,420,,,,0.6857918500900269,0.40042829513549805,0.6857918500900269
