epoch,step,train_dataset_iou,train_loss,train_per_image_iou,valid_dataset_iou,valid_loss,valid_per_image_iou
0,25,,,,0.545728325843811,0.7839764952659607,0.6043460965156555
0,25,0.545728325843811,0.7440358400344849,0.6043460965156555,,,
1,51,,,,0.48199406266212463,0.756528377532959,0.5310844779014587
1,51,0.48199406266212463,0.7116554379463196,0.5310844779014587,,,
2,77,,,,0.4867268204689026,0.7293660640716553,0.5465876460075378
2,77,0.4867268204689026,0.6888802647590637,0.5465876460075378,,,
3,103,,,,0.48663026094436646,0.7098875045776367,0.548249363899231
3,103,0.48663026094436646,0.6693130135536194,0.548249363899231,,,
4,129,,,,0.4920749366283417,0.6914926767349243,0.5551917552947998
4,129,0.4920749366283417,0.6518949866294861,0.5551917552947998,,,
5,155,,,,0.5125966668128967,0.676058292388916,0.5800502896308899
5,155,0.5125966668128967,0.6360565423965454,0.5800502896308899,,,
6,181,,,,0.5853066444396973,0.6619592905044556,0.6472568511962891
6,181,0.5853066444396973,0.6184014081954956,0.6472568511962891,,,
7,207,,,,0.5991730093955994,0.6483785510063171,0.6555556058883667
7,207,0.5991730093955994,0.6032989621162415,0.6555556058883667,,,
8,233,,,,0.5858140587806702,0.637914776802063,0.6494553089141846
8,233,0.5858140587806702,0.5913206934928894,0.6494553089141846,,,
9,259,,,,0.5076522827148438,0.6266142725944519,0.5726867318153381
9,259,0.5076522827148438,0.5809160470962524,0.5726867318153381,,,
10,285,,,,0.5547391176223755,0.6171213388442993,0.6220318078994751
10,285,0.5547391176223755,0.5705675482749939,0.6220318078994751,,,
11,311,,,,0.5291849374771118,0.6081398129463196,0.6028864979743958
11,311,0.5291849374771118,0.5595993995666504,0.6028864979743958,,,
12,337,,,,0.6587803959846497,0.5986577272415161,0.7218859195709229
12,337,0.6587803959846497,0.5501186847686768,0.7218859195709229,,,
13,363,,,,0.5609198212623596,0.5897518992424011,0.6317828297615051
13,363,0.5609198212623596,0.5417606234550476,0.6317828297615051,,,
14,389,,,,0.5109291076660156,0.5851814150810242,0.5846405029296875
14,389,0.5109291076660156,0.5343575477600098,0.5846405029296875,,,
15,415,,,,0.5458542704582214,0.5786632299423218,0.6142122149467468
15,415,0.5458542704582214,0.5266494154930115,0.6142122149467468,,,
16,441,,,,0.5549001097679138,0.573266327381134,0.6394117474555969
16,441,0.5549001097679138,0.5193001627922058,0.6394117474555969,,,
17,467,,,,0.6144095063209534,0.5658162832260132,0.6751638054847717
17,467,0.6144095063209534,0.512294352054596,0.6751638054847717,,,
18,493,,,,0.5171168446540833,0.5601888298988342,0.5816042423248291
18,493,0.5171168446540833,0.5069854259490967,0.5816042423248291,,,
19,519,,,,0.572108805179596,0.5550046563148499,0.6365800499916077
19,519,0.572108805179596,0.5007185935974121,0.6365800499916077,,,
20,520,,,,0.572108805179596,0.5503075122833252,0.6365800499916077
